emoji_1,emoji_2,emoji_3,emoji_4,emoji_5,emoji_6,emoji_7,emoji_8,emoji_9,emoji_10,emoji_11,emoji_12,emoji_13,label
12,34,26,198,16,70,179,106,117,16,106,175,34,0
26,16,198,34,121,9,179,106,117,106,34,204,16,1
26,106,8,16,198,34,21,179,34,16,117,1,106,1
26,6,179,198,34,106,79,16,106,117,34,16,10,0
26,195,16,35,106,198,179,34,16,34,181,106,117,1
87,34,26,16,53,198,106,179,101,34,16,106,117,0
179,16,202,106,34,198,26,125,106,117,197,34,16,0
106,147,16,26,194,34,179,198,101,106,34,117,16,0
179,25,198,106,191,34,26,16,117,16,106,34,182,0
16,26,34,50,106,198,83,179,40,34,106,117,16,0
26,134,16,148,179,198,34,106,41,117,34,106,16,1
66,179,26,34,16,108,198,106,201,34,117,16,106,1
179,79,16,100,106,198,34,26,16,106,34,20,117,0
186,85,16,34,106,198,179,26,16,106,117,34,128,0
26,34,57,198,179,182,106,16,106,16,34,67,117,0
59,168,198,34,106,179,26,16,188,117,34,16,106,0
179,55,160,106,198,16,34,26,34,117,187,106,16,1
16,26,179,198,34,138,53,106,156,117,106,34,16,0
16,26,34,106,198,180,196,179,16,106,208,34,117,1
119,198,34,106,16,136,26,179,106,20,117,16,34,0
26,16,198,34,106,179,186,162,106,117,34,16,122,0
106,198,16,31,26,37,34,179,34,16,106,5,117,0
198,179,16,106,190,77,34,26,106,16,117,34,201,0
156,198,179,16,26,106,34,90,213,34,106,117,16,0
115,179,106,198,16,26,34,37,106,16,117,201,34,0
174,179,16,106,26,198,34,159,51,117,16,34,106,1
16,34,198,179,106,194,144,26,106,34,6,117,16,0
16,25,26,106,34,198,179,35,34,106,117,16,51,0
34,16,14,26,104,198,179,106,34,106,10,117,16,0
34,179,86,106,198,16,26,128,16,117,34,175,106,0
80,26,198,179,16,54,106,34,212,117,106,16,34,0
106,34,179,47,26,16,198,8,106,83,34,117,16,0
26,198,61,106,34,194,16,179,16,34,106,117,36,0
198,110,106,34,179,16,206,26,106,168,16,117,34,1
19,34,16,198,106,209,179,26,34,106,204,16,117,1
196,106,16,26,179,9,34,198,117,58,106,34,16,0
75,198,16,34,26,170,106,179,16,106,55,34,117,0
124,26,198,179,16,34,106,11,106,117,16,34,201,1
34,67,137,198,106,179,26,16,16,10,117,34,106,0
26,160,106,198,34,16,179,78,83,34,106,16,117,1
198,106,64,179,34,72,16,26,16,77,106,34,117,0
34,147,26,179,16,198,178,106,106,34,117,16,118,1
198,106,16,26,179,34,130,213,106,117,16,36,34,1
106,31,16,198,26,179,195,34,34,80,117,106,16,1
34,106,198,179,54,16,183,26,117,16,34,48,106,1
198,34,158,179,16,63,106,26,117,106,16,83,34,1
16,198,34,194,106,179,26,190,106,34,16,183,117,0
26,107,83,198,106,34,16,179,117,104,16,34,106,1
106,213,198,16,34,202,179,26,106,117,34,16,66,1
34,198,26,96,106,179,16,9,16,117,106,34,212,0
34,27,106,26,179,16,72,198,16,149,34,106,117,0
16,34,114,26,179,106,74,198,106,152,34,117,16,1
198,125,106,26,16,179,79,34,16,106,34,117,208,0
106,16,108,34,179,198,26,206,55,117,16,106,34,0
16,106,196,26,34,180,198,179,16,34,199,117,106,1
34,179,26,198,71,16,106,100,16,34,117,106,62,0
106,179,34,26,198,14,16,58,9,34,117,16,106,1
90,198,26,34,179,201,16,106,16,78,34,117,106,0
198,179,26,106,34,183,16,2,106,117,201,34,16,1
16,34,33,106,179,26,164,198,34,106,117,16,32,1
98,16,26,106,179,34,20,198,117,16,89,106,34,1
26,106,34,16,45,179,38,198,67,117,106,34,16,1
87,34,16,198,106,179,118,26,100,117,34,106,16,1
148,179,16,106,114,26,198,34,34,122,106,16,117,0
34,122,191,26,179,106,16,198,34,212,117,106,16,1
186,198,179,26,86,34,106,16,106,34,117,187,16,0
198,106,26,34,156,84,179,16,117,34,16,33,106,1
34,24,179,26,198,16,106,53,16,117,154,34,106,0
120,16,179,106,26,105,198,34,16,125,106,117,34,0
26,179,198,194,166,34,16,106,16,34,106,62,117,1
106,179,1,16,198,34,26,107,117,106,16,34,89,0
26,14,34,198,106,179,10,16,16,34,117,12,106,1
113,198,16,118,106,34,179,26,16,117,34,106,32,1
179,106,178,26,16,198,127,34,117,106,34,16,12,1
34,80,179,16,30,198,106,26,16,106,34,117,77,1
106,68,179,198,16,149,26,34,117,197,106,16,34,0
16,26,34,198,154,106,179,29,16,106,89,117,34,0
106,198,72,179,34,16,0,26,187,117,106,16,34,0
104,34,26,16,106,179,198,200,117,40,106,16,34,0
179,16,26,198,128,106,34,191,167,106,34,16,117,0
128,26,198,30,16,34,106,179,34,16,106,66,117,0
26,198,179,16,15,34,106,89,167,106,117,16,34,0
198,106,26,16,179,42,34,58,106,136,117,16,34,1
198,26,162,106,179,16,92,34,117,34,106,16,77,1
26,131,198,179,106,16,58,34,106,117,12,34,16,0
127,16,26,198,179,7,34,106,16,34,117,208,106,1
16,179,198,26,34,37,160,106,16,106,156,34,117,0
198,34,179,106,16,211,26,63,133,106,34,16,117,1
198,106,16,174,78,26,179,34,34,106,117,16,178,1
195,198,106,16,26,34,110,179,182,34,106,117,16,1
198,77,205,179,106,34,26,16,117,72,34,106,16,1
186,34,26,198,16,106,179,171,16,89,106,117,34,1
179,46,34,26,212,16,106,198,106,34,16,117,100,1
16,106,129,195,26,198,179,34,106,17,34,16,117,1
34,165,179,149,106,26,16,198,16,34,117,78,106,1
168,34,179,16,142,26,198,106,34,106,16,117,187,0
211,16,26,186,198,106,179,34,34,45,117,106,16,0
179,206,34,26,16,106,198,86,117,16,66,106,34,1
46,16,106,198,45,179,26,34,117,106,16,34,8,1
198,179,16,34,24,26,67,106,106,34,58,117,16,0
179,106,17,26,198,34,126,16,106,34,117,51,16,1
179,26,106,198,95,34,16,134,34,16,181,117,106,1
26,128,179,109,16,34,198,106,106,117,16,34,75,1
16,26,36,198,179,34,200,106,34,16,117,106,199,1
179,198,16,106,92,34,108,26,34,106,16,105,117,1
34,136,16,26,198,84,179,106,16,117,168,106,34,0
179,34,16,21,26,198,103,106,106,41,117,16,34,1
16,26,179,34,205,8,106,198,117,16,106,185,34,0
34,16,26,173,106,201,179,198,16,154,34,106,117,1
158,34,181,16,179,198,106,26,16,34,106,117,178,0
198,167,96,106,26,34,16,179,106,1,117,16,34,1
26,16,179,106,198,39,34,25,106,117,34,16,187,0
198,16,179,72,14,34,106,26,117,106,34,180,16,0
34,73,26,106,179,198,150,16,106,16,12,34,117,0
106,185,26,198,16,34,161,179,106,34,117,16,89,1
198,20,34,106,16,179,26,85,34,106,16,117,118,1
198,55,34,106,151,26,16,179,106,34,66,16,117,1
146,106,198,34,124,26,16,179,117,34,106,206,16,0
198,34,114,106,0,16,26,179,34,117,180,16,106,0
198,126,26,179,34,106,16,195,16,34,117,194,106,1
149,198,106,34,26,179,16,166,117,34,12,16,106,1
34,26,106,16,198,151,179,67,75,106,16,34,117,1
16,179,186,106,26,198,34,137,16,106,117,185,34,0
106,16,198,3,124,34,179,26,159,34,16,106,117,1
41,179,26,34,198,16,106,172,16,117,106,152,34,0
198,106,179,16,33,26,69,34,34,124,106,117,16,0
60,26,179,198,16,106,66,34,106,16,125,117,34,1
179,198,160,16,26,106,175,34,34,106,153,16,117,1
106,34,139,198,26,53,16,179,106,16,76,117,34,0
34,198,179,26,106,149,93,16,117,106,45,16,34,1
198,16,26,106,34,183,202,179,117,34,16,106,187,0
26,179,106,16,198,206,34,166,117,16,34,208,106,1
107,198,16,26,179,106,125,34,106,117,16,104,34,1
198,26,179,16,138,106,75,34,34,117,16,106,53,1
198,34,16,174,26,106,48,179,16,55,106,117,34,0
137,16,178,179,106,34,26,198,41,106,34,117,16,1
179,58,198,16,26,34,161,106,117,34,106,16,206,0
16,198,34,66,98,26,106,179,106,117,17,34,16,1
121,26,41,198,16,106,179,34,5,106,117,16,34,0
179,106,26,198,16,122,34,31,117,16,6,106,34,1
179,34,198,106,206,50,26,16,106,117,34,16,9,1
198,205,106,16,194,26,34,179,34,117,185,16,106,0
194,179,34,106,198,79,16,26,106,189,16,34,117,0
16,130,198,179,212,34,26,106,16,72,117,34,106,1
179,178,106,26,34,198,16,2,16,117,106,34,153,1
179,34,16,198,125,106,190,26,16,34,106,117,178,0
126,26,106,16,34,179,43,198,106,5,16,34,117,0
106,16,102,26,198,179,43,34,117,106,34,16,63,0
198,150,106,179,30,34,26,16,103,117,34,106,16,1
198,179,106,127,16,37,34,26,12,16,34,106,117,0
34,198,196,106,179,26,16,152,106,16,117,6,34,0
106,189,179,16,176,26,34,198,34,16,106,117,45,1
52,106,34,154,198,179,26,16,106,32,16,117,34,0
34,106,179,75,26,198,16,82,106,117,34,56,16,0
16,34,26,179,106,198,99,72,34,117,106,7,16,0
198,64,179,34,26,16,53,106,34,117,62,106,16,0
66,26,179,106,34,137,16,198,66,16,117,34,106,0
106,180,16,198,26,179,34,140,40,34,16,117,106,1
31,106,179,26,16,198,34,152,106,201,16,117,34,0
131,178,106,34,26,198,179,16,106,105,16,117,34,1
190,179,198,75,26,16,106,34,16,106,117,34,62,0
143,179,106,16,198,100,26,34,117,106,34,16,32,0
16,34,198,26,10,179,170,106,106,16,117,34,136,1
190,34,26,179,106,16,124,198,106,117,10,34,16,0
198,16,31,106,36,34,26,179,117,62,16,106,34,1
122,179,44,26,198,16,34,106,117,159,34,106,16,1
179,106,34,26,16,152,198,141,75,16,106,117,34,1
26,106,179,34,16,169,198,58,16,117,80,34,106,1
16,34,198,33,106,26,179,27,34,94,16,106,117,0
26,157,179,106,156,198,34,16,117,34,16,106,12,1
34,106,107,198,26,16,9,179,16,106,117,19,34,0
207,179,198,26,34,16,106,130,16,106,34,114,117,1
106,26,181,34,198,96,16,179,16,117,106,34,152,0
198,30,106,34,16,179,26,125,117,118,34,16,106,0
183,34,27,198,106,179,26,16,101,34,117,16,106,1
179,26,198,106,213,34,16,171,117,16,34,100,106,1
26,179,193,16,90,34,198,106,106,16,117,34,150,1
26,34,179,106,198,97,212,16,106,16,212,34,117,0
34,198,106,179,32,57,16,26,5,117,34,16,106,0
149,108,16,34,198,179,106,26,106,194,16,117,34,1
34,179,198,106,26,16,121,185,117,106,25,34,16,1
46,75,198,106,16,26,34,179,117,34,106,58,16,0
179,15,10,16,198,34,106,26,186,106,34,117,16,1
108,34,179,26,16,106,198,18,76,117,106,16,34,0
198,179,16,106,34,113,26,80,34,117,106,16,80,0
16,106,198,179,26,206,73,34,117,16,104,106,34,1
179,26,34,106,54,18,16,198,106,206,34,16,117,0
26,106,198,179,16,37,73,34,34,53,106,117,16,1
53,26,106,198,179,165,16,34,92,16,106,34,117,0
48,112,16,106,198,26,34,179,34,92,106,117,16,0
198,106,26,16,179,123,34,186,1,117,16,34,106,1
176,198,106,18,179,26,16,34,62,16,117,34,106,1
106,16,199,70,26,34,198,179,183,34,16,106,117,0
16,26,106,198,179,94,110,34,9,117,34,106,16,1
34,106,198,2,26,16,7,179,117,16,106,34,197,0
34,198,179,134,139,106,16,26,17,117,34,106,16,0
6,106,26,179,143,198,34,16,63,117,16,106,34,1
198,106,150,26,34,179,172,16,188,106,34,117,16,0
16,26,198,34,107,100,179,106,34,106,117,188,16,0
179,106,34,165,26,18,198,16,182,16,34,117,106,1
26,198,179,16,34,106,12,52,189,106,34,117,16,0
34,77,26,179,16,112,198,106,16,117,106,103,34,1
16,34,136,106,120,26,198,179,117,34,206,16,106,0
34,16,106,198,26,186,179,42,16,8,34,106,117,1
106,198,179,33,26,85,16,34,117,34,106,16,199,1
26,106,172,179,198,167,34,16,117,34,16,106,197,0
26,89,106,34,179,16,140,198,106,117,16,181,34,1
120,198,16,185,26,34,106,179,34,125,106,117,16,1
26,16,94,179,74,106,198,34,106,37,117,16,34,1
34,26,106,4,179,16,180,198,34,195,106,16,117,0
179,26,16,106,34,54,168,198,106,16,117,168,34,0
26,34,98,198,106,33,16,179,117,16,106,17,34,0
106,29,26,34,179,16,197,198,117,134,106,34,16,1
198,62,170,16,179,26,34,106,183,16,34,117,106,0
198,21,26,179,106,175,16,34,104,106,117,16,34,1
179,66,27,26,16,34,198,106,34,16,106,117,92,0
26,179,106,16,198,189,34,4,117,106,34,6,16,1
182,179,34,16,109,106,26,198,114,117,16,106,34,0
106,179,26,34,123,213,16,198,34,16,117,106,197,1
34,16,26,179,198,159,106,23,34,117,106,156,16,0
3,198,16,179,26,9,106,34,16,34,106,117,72,1
198,16,84,179,26,106,34,19,34,16,106,48,117,0
136,26,198,2,106,179,34,16,117,45,34,16,106,0
16,198,179,34,13,26,106,168,106,117,149,16,34,0
16,34,26,198,106,48,179,22,34,106,16,117,53,1
16,198,105,34,131,26,179,106,117,134,106,16,34,0
198,16,26,179,34,106,158,133,62,34,106,117,16,1
26,34,198,6,179,106,16,126,106,117,16,34,43,1
34,16,26,179,37,198,106,163,106,34,117,48,16,0
26,179,198,106,185,16,34,172,16,117,34,106,62,1
160,16,198,26,18,106,179,34,34,16,168,117,106,0
179,34,106,26,16,198,130,19,16,34,117,6,106,0
179,109,134,16,198,106,34,26,34,182,106,117,16,1
34,26,106,179,77,198,16,73,16,206,34,106,117,0
198,16,34,76,95,179,106,26,34,212,106,16,117,0
26,34,16,96,179,198,180,106,106,117,34,8,16,1
198,13,149,26,179,34,106,16,106,34,117,16,75,1
198,16,26,95,179,45,106,34,106,40,16,34,117,1
16,179,34,106,42,26,182,198,106,117,34,16,18,0
207,106,34,16,179,198,26,95,106,117,189,34,16,1
142,179,26,187,106,34,16,198,117,106,16,34,175,1
198,16,179,26,34,106,110,133,117,16,106,20,34,0
198,106,34,16,23,179,26,25,34,117,150,106,16,0
198,106,26,179,16,33,161,34,34,16,106,117,101,1
179,42,26,34,37,106,198,16,16,117,183,34,106,0
198,106,26,34,179,16,210,154,76,117,16,34,106,0
34,179,202,26,198,16,89,106,16,33,34,106,117,0
34,179,26,11,53,106,16,198,117,16,106,34,206,0
16,198,21,26,179,34,124,106,16,117,106,34,154,1
26,16,179,33,34,14,198,106,106,117,34,40,16,0
45,179,177,198,26,34,106,16,16,117,178,34,106,0
34,198,10,106,52,16,26,179,34,16,117,194,106,1
16,91,198,26,179,133,34,106,103,34,106,16,117,0
26,55,179,16,79,198,34,106,34,117,188,16,106,1
204,106,26,211,16,34,198,179,41,34,16,117,106,1
16,106,26,28,133,179,34,198,106,16,117,168,34,0
34,106,198,179,209,188,16,26,117,16,106,34,125,1
106,34,61,198,26,53,179,16,6,106,16,34,117,0
26,198,91,16,106,103,34,179,7,16,106,117,34,0
16,41,26,198,200,34,106,179,16,34,76,106,117,0
34,180,111,198,16,179,106,26,34,117,16,106,204,1
147,34,106,16,198,179,26,43,106,117,34,53,16,1
198,106,26,16,34,32,179,27,34,106,117,16,51,1
93,34,101,198,106,16,179,26,117,51,16,106,34,1
26,119,179,106,104,34,16,198,106,117,76,16,34,0
198,179,4,106,183,34,26,16,153,117,16,106,34,1
106,145,199,16,26,179,198,34,117,106,16,124,34,0
198,106,16,34,32,26,179,209,117,16,194,106,34,1
198,26,180,34,106,179,202,16,106,55,117,16,34,0
34,20,179,16,106,198,113,26,117,20,106,16,34,0
42,34,198,106,26,208,179,16,106,117,134,34,16,0
34,198,179,106,16,119,181,26,16,34,72,117,106,0
16,198,179,106,34,26,124,158,208,16,34,106,117,1
179,34,185,106,26,4,16,198,16,122,34,117,106,0
198,34,172,106,16,134,179,26,16,106,34,72,117,1
196,106,34,26,25,198,16,179,34,117,16,106,25,0
16,19,106,26,198,64,179,34,43,106,16,117,34,1
26,16,34,198,171,55,179,106,16,124,34,117,106,1
100,106,202,198,26,34,179,16,34,106,117,16,181,1
179,34,157,12,26,16,106,198,16,106,66,117,34,0
179,106,26,16,80,198,34,172,106,34,159,117,16,1
179,106,34,16,204,119,26,198,34,117,106,12,16,0
106,100,16,26,198,81,179,34,117,106,16,118,34,0
106,16,198,179,204,34,26,191,34,159,106,117,16,1
143,198,179,150,106,16,26,34,32,117,34,16,106,1
26,34,106,16,179,59,105,198,106,117,16,114,34,0
106,26,34,11,198,16,182,179,106,20,34,16,117,0
109,179,34,26,198,16,106,187,106,34,117,16,185,1
26,78,179,198,34,96,16,106,106,195,117,16,34,0
143,179,198,182,34,16,26,106,63,34,16,106,117,0
123,26,168,198,179,106,16,34,34,117,106,43,16,1
179,34,48,26,198,106,157,16,48,16,117,106,34,0
34,26,106,179,82,16,195,198,117,106,16,34,187,0
198,16,98,179,34,106,5,26,34,16,106,45,117,1
16,65,34,179,198,53,26,106,104,117,34,16,106,0
16,106,179,198,62,34,160,26,16,106,117,134,34,0
16,198,191,5,106,26,34,179,106,117,34,181,16,1
206,11,106,34,179,16,26,198,16,32,106,34,117,1
22,106,122,34,198,26,179,16,197,106,117,34,16,0
34,16,26,8,179,106,44,198,117,106,34,16,62,1
26,198,34,106,83,16,42,179,117,34,106,72,16,1
135,26,179,16,40,34,198,106,106,16,105,34,117,1
106,34,49,198,179,16,26,56,34,117,16,106,20,0
179,16,198,197,88,26,34,106,106,10,34,117,16,1
179,26,16,160,106,103,198,34,34,106,117,16,78,0
198,26,61,106,34,43,179,16,94,34,16,117,106,0
16,186,26,106,198,166,179,34,34,106,51,16,117,1
38,188,179,106,34,26,198,16,117,34,16,153,106,1
34,179,213,16,198,106,111,26,106,16,34,117,83,1
61,179,34,198,26,106,180,16,117,16,34,106,72,1
179,106,108,34,198,9,26,16,34,106,117,136,16,1
9,179,16,34,106,198,26,145,34,117,106,16,201,0
26,198,145,34,179,16,188,106,117,16,106,199,34,1
134,198,106,111,34,26,179,16,76,34,16,117,106,1
34,106,146,179,26,16,194,198,117,16,106,204,34,0
179,16,194,34,26,198,129,106,34,77,117,106,16,0
106,198,34,16,185,26,69,179,34,16,152,106,117,1
34,179,26,138,16,101,198,106,34,106,117,16,167,0
34,16,77,106,198,179,26,191,117,149,16,34,106,0
198,16,26,69,106,25,179,34,16,117,180,34,106,0
16,34,106,153,179,26,140,198,16,106,34,117,185,0
106,174,198,179,16,133,26,34,76,16,106,117,34,0
73,16,58,198,34,179,106,26,117,19,34,106,16,0
56,179,106,198,26,196,34,16,16,48,34,106,117,0
26,198,106,179,16,64,34,153,16,117,43,106,34,0
82,198,179,106,36,26,34,16,34,16,117,153,106,1
26,145,106,179,34,201,198,16,16,106,117,62,34,1
106,30,100,34,198,26,179,16,34,6,16,106,117,0
34,179,106,104,69,198,26,16,16,106,117,153,34,0
198,34,157,193,26,16,106,179,34,7,106,117,16,1
198,16,26,17,179,34,106,84,106,117,193,16,34,0
34,106,26,179,198,127,16,153,34,16,53,106,117,1
198,34,33,106,176,16,179,26,16,34,159,106,117,1
16,179,26,105,198,106,34,50,34,106,16,117,12,0
16,199,106,34,26,198,179,155,106,20,34,117,16,0
26,106,89,4,198,179,34,16,103,34,16,106,117,0
16,187,179,106,26,198,11,34,117,106,136,34,16,1
179,198,26,6,16,106,97,34,106,78,34,16,117,0
40,106,184,26,198,34,179,16,106,34,152,117,16,1
53,16,34,162,198,106,26,179,117,34,106,17,16,0
198,192,51,16,34,106,179,26,34,106,186,16,117,0
106,179,198,16,26,72,151,34,16,185,117,34,106,0
26,133,34,57,179,16,106,198,66,16,117,106,34,0
198,48,26,16,179,34,106,84,117,34,106,178,16,1
179,196,26,67,106,34,198,16,117,106,36,16,34,0
34,198,106,52,179,10,26,16,16,56,34,106,117,1
106,26,200,34,105,16,179,198,41,106,16,117,34,1
212,16,106,34,163,26,179,198,194,117,16,106,34,1
16,26,198,179,34,106,74,197,34,117,19,16,106,1
106,179,16,26,198,20,34,146,16,9,106,117,34,1
198,85,34,16,106,26,179,187,117,106,34,16,89,1
198,34,106,16,79,26,179,212,34,32,16,117,106,1
34,106,107,179,188,198,26,16,34,16,117,106,208,0
16,104,179,39,26,34,106,198,41,117,34,106,16,0
94,106,179,26,191,198,16,34,106,34,117,17,16,1
68,33,106,198,16,179,34,26,183,106,117,34,16,0
106,179,34,103,26,198,49,16,89,16,106,117,34,1
106,26,16,34,198,164,78,179,16,106,117,92,34,0
34,3,198,179,26,16,106,32,212,117,16,106,34,0
16,106,26,179,4,12,198,34,34,117,106,16,213,0
34,198,16,106,208,26,50,179,34,16,117,149,106,0
26,106,179,208,44,198,16,34,16,34,106,80,117,1
198,179,26,106,213,34,16,28,16,12,34,117,106,1
16,134,179,34,70,106,198,26,106,34,16,117,37,1
16,106,34,114,26,30,179,198,16,117,34,106,197,0
26,179,187,198,34,16,141,106,101,34,117,16,106,1
16,106,198,192,6,179,26,34,106,194,34,16,117,1
83,171,16,34,26,179,198,106,106,34,16,153,117,1
198,34,26,56,16,22,179,106,16,34,106,5,117,0
106,142,16,26,179,198,72,34,106,101,117,16,34,0
94,16,106,34,198,74,179,26,34,48,16,106,117,0
198,16,106,12,74,34,179,26,117,34,106,80,16,1
179,106,26,198,34,196,168,16,16,62,117,34,106,1
198,41,179,29,16,26,34,106,106,117,34,58,16,0
194,106,34,16,198,110,179,26,16,106,117,34,156,0
25,179,106,34,16,26,198,64,16,106,34,9,117,0
106,201,26,190,198,16,179,34,106,117,212,16,34,1
179,16,91,198,53,106,34,26,34,106,117,16,180,0
139,34,106,16,198,156,26,179,10,16,106,117,34,1
16,86,26,179,32,198,34,106,89,34,106,16,117,1
198,53,138,179,26,16,34,106,45,106,117,34,16,0
120,159,16,106,179,198,26,34,106,117,10,34,16,0
106,182,26,198,130,179,16,34,117,181,16,106,34,1
16,198,165,26,34,106,179,67,16,34,122,106,117,0
198,16,179,26,34,106,57,19,55,117,16,34,106,0
26,114,200,198,16,34,179,106,150,117,34,16,106,1
34,106,179,16,51,169,198,26,34,106,117,9,16,0
106,179,198,21,34,26,16,7,117,72,34,106,16,1
179,34,16,210,198,51,26,106,34,207,117,16,106,0
179,16,198,26,34,171,92,106,16,208,117,34,106,1
198,26,203,34,106,179,58,16,16,117,106,36,34,0
179,198,26,16,175,106,11,34,16,34,117,212,106,1
198,50,179,26,36,34,16,106,117,34,63,106,16,1
179,198,203,16,12,26,34,106,106,117,207,16,34,0
179,16,106,198,161,26,181,34,104,106,34,117,16,0
12,198,106,34,16,26,147,179,34,106,125,16,117,1
96,128,34,198,26,106,16,179,106,34,16,117,185,0
211,26,16,106,179,198,41,34,106,117,72,16,34,0
34,179,198,16,106,32,97,26,34,16,76,106,117,1
15,16,179,26,34,159,198,106,199,117,34,106,16,0
34,80,179,26,106,198,110,16,117,175,16,106,34,0
16,34,106,198,29,26,179,189,34,16,106,117,154,1
179,34,185,16,176,26,106,198,32,34,16,106,117,1
16,34,179,26,70,198,94,106,34,154,117,16,106,1
106,16,26,34,202,179,77,198,10,16,117,106,34,0
34,175,198,210,179,106,26,16,34,117,136,106,16,1
198,125,16,151,26,179,34,106,106,34,16,92,117,0
106,179,16,198,99,34,26,187,34,76,16,106,117,1
16,26,168,34,106,179,148,198,106,34,117,16,100,1
179,198,26,106,202,34,152,16,34,117,16,106,124,0
198,26,62,203,179,16,106,34,117,34,106,16,92,0
